k2,model,alpha,0,0.1,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2
1,recursive,0.01,5.902,1.608,2.129,2.768,3.179,3.459,3.584,3.771,3.589,3.838,3.882,3.951
1,recursive,0.05,3.27,0.85,1.038,1.298,1.554,1.567,1.548,1.583,1.623,1.599,1.553,1.518
1,recursive,0.1,2.21,0.53,0.659,0.814,0.796,0.798,0.751,0.759,0.698,0.685,0.687,0.616
2,recursive,0.01,7.91,1.996,2.691,3.426,3.907,4.129,4.2,4.362,4.304,4.309,4.278,4.25
2,recursive,0.05,4.826,1.184,1.453,1.733,1.891,1.82,1.802,1.819,1.752,1.734,1.692,1.706
2,recursive,0.1,3.324,0.794,0.912,1.029,1.077,1.008,0.88,0.785,0.697,0.666,0.587,0.506
3,recursive,0.01,9.23,2.418,3.092,4.08,4.136,4.322,4.341,4.337,4.192,4.089,4.365,4.184
3,recursive,0.05,5.946,1.434,1.71,2.062,2.073,1.978,1.909,1.93,1.795,1.715,1.71,1.612
3,recursive,0.1,4216,970,1064,1117,1121,960,857,691,599,386,276,127
1,rolling,0.01,5.902,1.638,2.23,2.812,3.3,3.634,3.811,3.688,3.721,3.924,3.612,3.765
1,rolling,0.05,3.27,0.854,1.112,1.394,1.644,1.627,1.583,1.574,1.469,1.488,1.378,1.215
1,rolling,0.1,2.21,0.536,0.667,0.838,0.865,0.773,0.693,0.602,0.482,0.39,0.355,0.276
2,rolling,0.01,7.91,2.036,2.819,3.544,3.988,4.066,4.398,4.403,4.109,4.293,4.046,3.566
2,rolling,0.05,4.826,1.232,1.481,1.802,1.889,1.841,1.695,1.495,1.264,1.015,0.783,0.504
2,rolling,0.1,3.324,0.812,0.92,1.028,1.004,0.806,0.468,0.399,0.095,-0.198,-0.394,-0.623
3,rolling,0.01,9.23,2.476,3.128,4.135,4.12,4.264,4.519,4.386,4.123,3.373,3.089,2.685
3,rolling,0.05,5.946,1.472,1.752,2.089,2.042,1.7,1.532,1.1,0.694,0.34,-0.071,-0.471
3,rolling,0.1,4.216,1.006,1.074,1.135,0.944,0.617,0.224,-0.174,-0.600,-1.080,-1.529,-1.847
