,"Stat","Variable","DM","ENC-HLN",,,
"1","$R_{T}$","AC$_{t+1}$",28.532,6.769,,"28.532***","6.769*"
"2","$R_{T}$","SV$_{t+1}$",8.874,1.838,,"8.874***","8.874"
"3","$R_{T}$","AV$_{t+1}$",34.347,18.197,,"34.347***","18.197***"
"4","$R_{T}$","RET$_{t+1}$",29.124,4.871,,"29.124***","29.124"
"5","$A_{T}$","AC$_{t+1}$",19.867,1.828,,"19.867***","1.828"
"6","$A_{T}$","SV$_{t+1}$",2.647,0.949,,"2.647***","0.949"
"7","$A_{T}$","AV$_{t+1}$",21.751,10.700,,"21.751***","10.7***"
"8","$A_{T}$","RET$_{t+1}$",13.347,1.680,,"13.347***","1.68"
,,,,,,,
,,,,,,,
,"Stat","Variable","DM2","ENC-HLN2",,,
,"$R_{T}$","AC$_{t+1}$",27.398,8.706,,"27.398***","8.706**"
,"$R_{T}$","SV$_{t+1}$",21.920,3.973,,"21.92***","21.92"
,"$R_{T}$","AV$_{t+1}$",34.292,29.804,,"34.292***","29.804***"
,"$R_{T}$","RET$_{t+1}$",15.964,3.884,,"15.964***","15.964"
,"$A_{T}$","AC$_{t+1}$",8.080,1.542,,"8.08***","1.542"
,"$A_{T}$","SV$_{t+1}$",8.218,2.062,,"8.218***","2.062"
,"$A_{T}$","AV$_{t+1}$",21.631,19.449,,"21.631***","19.449***"
,"$A_{T}$","RET$_{t+1}$",9.209,1.780,,"9.209***","1.78"
